Fold,Mean GNN,Std GNN,MeanTML,Std TML,p-value,Significance,Significant Difference
1,1.0,0.0,0.959,0.02,0.00011372194375650584,,Yes
2,0.973,0.017,0.969,0.014,0.5730872519574315,,No
3,1.0,0.0,0.994,0.018,0.3193155759720348,,No
4,0.994,0.012,0.954,0.033,0.003961309176014904,,Yes
5,0.997,0.009,0.972,0.0,1.0409540080665321e-05,,Yes
6,0.974,0.016,0.968,0.009,0.31865124541043766,,No
7,0.997,0.009,0.963,0.024,0.0013667212211445105,,Yes
8,0.997,0.009,0.99,0.014,0.20293244356646897,,No
9,0.997,0.01,1.0,0.0,0.36755806193292884,,No
10,0.971,0.001,0.984,0.02,0.07012682357101764,,No
